cif_id,orgkey,cust_first_name,cust_middle_name,cust_last_name,preferredphone,preferredname,preferredemail,email,gender,name,pan
DLNIND7340765,R01700535,Timilsina,Gopal,Acharya,9.77989E+12,Timilsina Gopal Acharya,timilsina998@gmail.com,timilsina998@gmail.com,M,Timilsina Gopal Acharya,PAN370287241
DLNLEG1075920,R30090144,RUKUM CO-OP FINANCE LTD.,,,9.77981E+12,RUKUM CO-OP FINANCE LTD.,rukumco-opfinance247@outlook.com,rukumco-opfinance247@outlook.com,,RUKUM CO-OP FINANCE LTD.,PAN136521569
DLNIND9910969,R00061514,Poshan,Gopal,Bhandari,9.77988E+12,Poshan Gopal Bhandari,poshan218@gmail.com,poshan218@gmail.com,M,Poshan Gopal Bhandari,PAN170015742
DLNIND7426436,R66368828,Shirish,Shankar,Timalsina,9.77985E+12,Shirish Shankar Timalsina,shirish503@gmail.com,shirish503@gmail.com,M,Shirish Shankar Timalsina,PAN849149601
DLNIND8636016,R01586586,Sammriddha,Bipin,Poudel,9.77983E+12,Sammriddha Bipin Poudel,sammriddha346@gmail.com,sammriddha346@gmail.com,M,Sammriddha Bipin Poudel,PAN455824426
DLNIND4211643,O99520992,Sriti,Kumari,Thapa,9.7799E+12,Sriti Kumari Thapa,sriti221@gmail.com,sriti221@gmail.com,F,Sriti Kumari Thapa,PAN697945863
DLNIND5509870,R39939293,Girijesh,Bibek,Limbu,9.77989E+12,Girijesh Bibek Limbu,girijesh608@gmail.com,girijesh608@gmail.com,M,Girijesh Bibek Limbu,PAN230636400
DLNIND7872351,R00905776,Bikalpa,Saraswati,Limbu,9.77985E+12,Bikalpa Saraswati Limbu,bikalpa583@gmail.com,bikalpa583@gmail.com,F,Bikalpa Saraswati Limbu,PAN839648484
DLNIND7227326,R16155515,Sunanda,Bishnu,Rai,9.77989E+12,Sunanda Bishnu Rai,sunanda615@gmail.com,sunanda615@gmail.com,M,Sunanda Bishnu Rai,PAN613246502
DLNIND1550667,R01847463,Rajababu,Bishal,Dahal,9.77987E+12,Rajababu Bishal Dahal,rajababu654@gmail.com,rajababu654@gmail.com,M,Rajababu Bishal Dahal,PAN690459021
DLNIND3781309,R00891649,Talaz,Prasad,Bhattarai,9.77983E+12,Talaz Prasad Bhattarai,talaz464@gmail.com,talaz464@gmail.com,M,Talaz Prasad Bhattarai,PAN625322405
DLNLEG9101051,C00004454,KAVREPALANCHOK MEDIA PVT. LTD.,,,9.77983E+12,KAVREPALANCHOK MEDIA PVT. LTD.,kavrepalanchokmedia562@outlook.com,kavrepalanchokmedia562@outlook.com,,KAVREPALANCHOK MEDIA PVT. LTD.,PAN871468252
DLNIND3732980,R29977110,Sakhil,Krishna,Lama,9.77981E+12,Sakhil Krishna Lama,sakhil952@gmail.com,sakhil952@gmail.com,M,Sakhil Krishna Lama,PAN683139342
DLNLEG8874285,C00004449,SURKHET AGRO CO-OP LTD.,,,9.77983E+12,SURKHET AGRO CO-OP LTD.,surkhetagroco-op938@outlook.com,surkhetagroco-op938@outlook.com,,SURKHET AGRO CO-OP LTD.,PAN406844287
DLNIND8221535,R00545118,Hena,Maya,Rai,9.77985E+12,Hena Maya Rai,hena574@gmail.com,hena574@gmail.com,F,Hena Maya Rai,PAN501986596
DLNLEG1189719,R09128392,SARLAHI PLASTIC PRODUCTS PVT. LTD.,,,9.77986E+12,SARLAHI PLASTIC PRODUCTS PVT. LTD.,sarlahiplasticproducts609@outlook.com,sarlahiplasticproducts609@outlook.com,,SARLAHI PLASTIC PRODUCTS PVT. LTD.,PAN240743444
DLNIND5461679,R01116404,Shiva,Bikram,Pandey,9.77986E+12,Shiva Bikram Pandey,shiva950@gmail.com,shiva950@gmail.com,M,Shiva Bikram Pandey,PAN499792774
DLNLEG2158354,C00082152,SINDHULI AGRO PVT. LTD.,,,9.77982E+12,SINDHULI AGRO PVT. LTD.,sindhuliagro348@outlook.com,sindhuliagro348@outlook.com,,SINDHULI AGRO PVT. LTD.,PAN281141916
DLNLEG1337370,C00058395,ROLPA CONSTRUCTIONS PVT. LTD.,,,9.77984E+12,ROLPA CONSTRUCTIONS PVT. LTD.,rolpaconstructions648@outlook.com,rolpaconstructions648@outlook.com,,ROLPA CONSTRUCTIONS PVT. LTD.,PAN324979852
DLNIND2035752,R01566002,Anushikha,Saraswati,Shrestha,9.7799E+12,Anushikha Saraswati Shrestha,anushikha296@gmail.com,anushikha296@gmail.com,F,Anushikha Saraswati Shrestha,PAN630828841
DLNIND1568693,R02169468,Srijeet,Prasad,Tamang,9.77985E+12,Srijeet Prasad Tamang,srijeet619@gmail.com,srijeet619@gmail.com,M,Srijeet Prasad Tamang,PAN651060348
DLNLEG6566454,C00004426,PARSA TRADING PVT. LTD.,,,9.77981E+12,PARSA TRADING PVT. LTD.,parsatrading914@outlook.com,parsatrading914@outlook.com,,PARSA TRADING PVT. LTD.,PAN491523472
DLNIND4269492,R00580783,sirish,,poudel,9861632577,sirish  poudel,sirish.poudel@dlytica.com,sirish.poudel@dlytica.com,M,sirish  poudel,PAN861110758
DLNIND6686056,R01731860,Hemraj,Bibek,Karki,9.77982E+12,Hemraj Bibek Karki,hemraj119@gmail.com,hemraj119@gmail.com,M,Hemraj Bibek Karki,PAN871531890
DLNIND6852316,R01911519,Sanjita,Dev,Rai,9.77986E+12,Sanjita Dev Rai,sanjita884@gmail.com,sanjita884@gmail.com,M,Sanjita Dev Rai,PAN986235560
DLNLEG9681773,C00004457,TAMOR ELECTRONICS PVT. LTD.,,,9.77981E+12,TAMOR ELECTRONICS PVT. LTD.,tamorelectronics865@outlook.com,tamorelectronics865@outlook.com,,TAMOR ELECTRONICS PVT. LTD.,PAN600210736
DLNLEG5022872,C00036463,BIRGUNJ CHEMICALS PVT. LTD.,,,9.77989E+12,BIRGUNJ CHEMICALS PVT. LTD.,birgunjchemicals166@outlook.com,birgunjchemicals166@outlook.com,,BIRGUNJ CHEMICALS PVT. LTD.,PAN582125869
DLNIND3257367,R02275983,Aavaas,Ram,Adhikari,9.77982E+12,Aavaas Ram Adhikari,aavaas614@gmail.com,aavaas614@gmail.com,M,Aavaas Ram Adhikari,PAN727567807
DLNLEG2266684,R48318099,SAGARMATHA CLOTHING PVT. LTD.,,,9.77985E+12,SAGARMATHA CLOTHING PVT. LTD.,sagarmathaclothing663@outlook.com,sagarmathaclothing663@outlook.com,,SAGARMATHA CLOTHING PVT. LTD.,PAN940651973
DLNLEG8360275,C00004455,MANANG HYDROPOWER LTD.,,,9.77982E+12,MANANG HYDROPOWER LTD.,mananghydropower649@outlook.com,mananghydropower649@outlook.com,,MANANG HYDROPOWER LTD.,PAN862264521
DLNLEG5047780,C00012403,PHEWA AUTO PARTS PVT. LTD.,,,9.77989E+12,PHEWA AUTO PARTS PVT. LTD.,phewaautoparts243@outlook.com,phewaautoparts243@outlook.com,,PHEWA AUTO PARTS PVT. LTD.,PAN321629576
DLNIND6021714,R01786442,Sanju,Shankar,Sharma,9.77989E+12,Sanju Shankar Sharma,sanju935@gmail.com,sanju935@gmail.com,M,Sanju Shankar Sharma,PAN588289495
DLNIND4071562,R00494090,Nawal,Bhakta,Dahal,9.77989E+12,Nawal Bhakta Dahal,nawal799@gmail.com,nawal799@gmail.com,M,Nawal Bhakta Dahal,PAN588972956
DLNLEG1805667,R08272460,PATHIVARA LOGISTICS PVT. LTD.,,,9.77985E+12,PATHIVARA LOGISTICS PVT. LTD.,pathivaralogistics755@outlook.com,pathivaralogistics755@outlook.com,,PATHIVARA LOGISTICS PVT. LTD.,PAN629114031
DLNIND9898224,R15189814,Srista,Laxmi,Khadka,9.77982E+12,Srista Laxmi Khadka,srista573@gmail.com,srista573@gmail.com,F,Srista Laxmi Khadka,PAN376421978
DLNLEG8098419,R09403211,PALPA HEALTHCARE PVT. LTD.,,,9.77984E+12,PALPA HEALTHCARE PVT. LTD.,palpahealthcare102@outlook.com,palpahealthcare102@outlook.com,,PALPA HEALTHCARE PVT. LTD.,PAN954062163
DLNIND9084977,R01006372,Sanyukta,Saraswati,Bhattarai,9.77987E+12,Sanyukta Saraswati Bhattarai,sanyukta684@gmail.com,sanyukta684@gmail.com,F,Sanyukta Saraswati Bhattarai,PAN825001101
DLNLEG8507903,R24249553,TANAHUN DIGITAL PVT. LTD.,,,9.77984E+12,TANAHUN DIGITAL PVT. LTD.,tanahundigital462@outlook.com,tanahundigital462@outlook.com,,TANAHUN DIGITAL PVT. LTD.,PAN165730705
DLNLEG5063780,R42240201,SHREE KRISHNA FOUNDATION NGO,,,9.77987E+12,SHREE KRISHNA FOUNDATION NGO,shreekrishnafoundationngo395@outlook.com,shreekrishnafoundationngo395@outlook.com,,SHREE KRISHNA FOUNDATION NGO,PAN642854936
DLNLEG3756805,C00004446,KANCHANJUNGA LOGISTICS PVT. LTD.,,,9.7799E+12,KANCHANJUNGA LOGISTICS PVT. LTD.,kanchanjungalogistics925@outlook.com,kanchanjungalogistics925@outlook.com,,KANCHANJUNGA LOGISTICS PVT. LTD.,PAN668536553
DLNIND5644007,R00771966,Vawesh,Lal,Bhandari,9.77988E+12,Vawesh Lal Bhandari,vawesh479@gmail.com,vawesh479@gmail.com,M,Vawesh Lal Bhandari,PAN695591077
DLNIND1842225,R01786443,Apekshya,Devi,Thakuri,9.77982E+12,Apekshya Devi Thakuri,apekshya925@gmail.com,apekshya925@gmail.com,F,Apekshya Devi Thakuri,PAN324017723
DLNLEG3169101,R57501498,HIMALAYAN CONSULTANCY PVT. LTD.,,,9.77985E+12,HIMALAYAN CONSULTANCY PVT. LTD.,himalayanconsultancy879@outlook.com,himalayanconsultancy879@outlook.com,,HIMALAYAN CONSULTANCY PVT. LTD.,PAN944763272
DLNIND1138256,R00264434,Kalyan,Gopal,Maharjan,9.77982E+12,Kalyan Gopal Maharjan,kalyan791@gmail.com,kalyan791@gmail.com,M,Kalyan Gopal Maharjan,PAN372339539
DLNLEG9444528,C00000865,JAJARKOT DAIRY CO-OP LTD.,,,9.77982E+12,JAJARKOT DAIRY CO-OP LTD.,jajarkotdairyco-op855@outlook.com,jajarkotdairyco-op855@outlook.com,,JAJARKOT DAIRY CO-OP LTD.,PAN558406246
DLNLEG3194194,RB1499113,SUNSARI DIGITAL PVT. LTD.,,,9.77988E+12,SUNSARI DIGITAL PVT. LTD.,sunsaridigital188@outlook.com,sunsaridigital188@outlook.com,,SUNSARI DIGITAL PVT. LTD.,PAN114592430
DLNIND5013653,R01009724,Mikma,Hari,Lama,9.77985E+12,Mikma Hari Lama,mikma924@gmail.com,mikma924@gmail.com,M,Mikma Hari Lama,PAN106648673
DLNLEG5738561,R19041342,BARDIA BUILDERS PVT. LTD.,,,9.77985E+12,BARDIA BUILDERS PVT. LTD.,bardiabuilders660@outlook.com,bardiabuilders660@outlook.com,,BARDIA BUILDERS PVT. LTD.,PAN183074119
DLNIND7387806,R01901408,Roma,Kumari,Acharya,9.77988E+12,Roma Kumari Acharya,roma402@gmail.com,roma402@gmail.com,F,Roma Kumari Acharya,PAN904684013
DLNLEG9966100,C00004439,DLYTICA ACADEMY,,,9.77983E+12,DLYTICA ACADEMY,dlyticaacademy500@outlook.com,dlyticaacademy500@outlook.com,,DLYTICA ACADEMY,PAN200433423
DLNIND1242207,R01901405,Suhela,Maya,Maharjan,9.77983E+12,Suhela Maya Maharjan,suhela673@gmail.com,suhela673@gmail.com,F,Suhela Maya Maharjan,PAN173115976
DLNIND1243944,R01660876,Dorkaji,Lal,Thakuri,9.77982E+12,Dorkaji Lal Thakuri,dorkaji631@gmail.com,dorkaji631@gmail.com,M,Dorkaji Lal Thakuri,PAN416982678
DLNLEG7793973,C00004445,SYANGJA REAL ESTATE LTD.,,,9.77986E+12,SYANGJA REAL ESTATE LTD.,syangjarealestate603@outlook.com,syangjarealestate603@outlook.com,,SYANGJA REAL ESTATE LTD.,PAN758602904
DLNIND8496642,R01166828,Gambheer,Bipin,Adhikari,9.77981E+12,Gambheer Bipin Adhikari,gambheer838@gmail.com,gambheer838@gmail.com,M,Gambheer Bipin Adhikari,PAN593892274
DLNIND8726228,R00816195,Suk,Bishal,Sharma,9.7799E+12,Suk Bishal Sharma,suk997@gmail.com,suk997@gmail.com,M,Suk Bishal Sharma,PAN960707979
DLNLEG9864427,R04006533,SOLU HYDROPOWER PVT. LTD.,,,9.77983E+12,SOLU HYDROPOWER PVT. LTD.,soluhydropower521@outlook.com,soluhydropower521@outlook.com,,SOLU HYDROPOWER PVT. LTD.,PAN612584594
DLNIND6943934,R01007045,Kabita,,Bhattarai,9866180896,Kabita  Bhattarai,kabita.bhattarai@dlytica.com,kabita.bhattarai@dlytica.com,F,Kabita  Bhattarai,PAN733986970
DLNIND6782843,R01901391,Bhawna,Saraswati,Rana,9.77984E+12,Bhawna Saraswati Rana,bhawna223@gmail.com,bhawna223@gmail.com,F,Bhawna Saraswati Rana,PAN696296726
DLNIND8738953,R36283925,Sahil,Bahadur,Yadav,9.77987E+12,Sahil Bahadur Yadav,sahil687@gmail.com,sahil687@gmail.com,M,Sahil Bahadur Yadav,PAN401676066
DLNIND4263447,R09396490,sandal,,Tandukar,9861396794,sandal  Tandukar,sandil.tandukar@dlytica.com,sandil.tandukar@dlytica.com,M,sandal  Tandukar,PAN602858021
DLNIND9611726,R00960980,Dipika,Saraswati,Adhikari,9.77981E+12,Dipika Saraswati Adhikari,dipika756@gmail.com,dipika756@gmail.com,F,Dipika Saraswati Adhikari,PAN153589712
DLNLEG5604950,R22133473,JUMLA FOOD PRODUCTS PVT. LTD.,,,9.77986E+12,JUMLA FOOD PRODUCTS PVT. LTD.,jumlafoodproducts402@outlook.com,jumlafoodproducts402@outlook.com,,JUMLA FOOD PRODUCTS PVT. LTD.,PAN795534455
DLNLEG3348092,R39227100,ANNAPURNA HOTELS LTD.,,,9.77986E+12,ANNAPURNA HOTELS LTD.,annapurnahotels223@outlook.com,annapurnahotels223@outlook.com,,ANNAPURNA HOTELS LTD.,PAN536374133
DLNLEG7366525,R52273477,BARDIYA SECURITY PVT. LTD.,,,9.77985E+12,BARDIYA SECURITY PVT. LTD.,bardiyasecurity305@outlook.com,bardiyasecurity305@outlook.com,,BARDIYA SECURITY PVT. LTD.,PAN549095519
DLNLEG3286748,R02103112,MYAGDI ENTERPRISES LTD.,,,9.77982E+12,MYAGDI ENTERPRISES LTD.,myagdienterprises905@outlook.com,myagdienterprises905@outlook.com,,MYAGDI ENTERPRISES LTD.,PAN903432729
DLNLEG2990042,C00004460,SARLAHI ENGINEERING PVT. LTD.,,,9.77983E+12,SARLAHI ENGINEERING PVT. LTD.,sarlahiengineering869@outlook.com,sarlahiengineering869@outlook.com,,SARLAHI ENGINEERING PVT. LTD.,PAN608705773
DLNLEG8246037,C00004452,DLYTICA HOSPITAL PVT. LTD.,,,9.77988E+12,DLYTICA HOSPITAL PVT. LTD.,dlyticahospital731@outlook.com,dlyticahospital731@outlook.com,,DLYTICA HOSPITAL PVT. LTD.,PAN888268690
DLNLEG9749078,C00004456,NEPAL HERITAGE TOURS PVT. LTD.,,,9.77987E+12,NEPAL HERITAGE TOURS PVT. LTD.,nepalheritagetours236@outlook.com,nepalheritagetours236@outlook.com,,NEPAL HERITAGE TOURS PVT. LTD.,PAN269568742
DLNLEG6450861,J00518347,MUSTANG CARPENTRY PVT. LTD.,,,9.77988E+12,MUSTANG CARPENTRY PVT. LTD.,mustangcarpentry759@outlook.com,mustangcarpentry759@outlook.com,,MUSTANG CARPENTRY PVT. LTD.,PAN747791463
DLNIND8257521,R01131729,Juna,Saraswati,Neupane,9.77982E+12,Juna Saraswati Neupane,juna803@gmail.com,juna803@gmail.com,F,Juna Saraswati Neupane,PAN873721196
DLNIND6665024,R47430440,Smeeta,Devi,Lama,9.77989E+12,Smeeta Devi Lama,smeeta447@gmail.com,smeeta447@gmail.com,F,Smeeta Devi Lama,PAN646056144
DLNLEG9678391,R22132679,MANANG HOSPITALITY PVT. LTD.,,,9.77989E+12,MANANG HOSPITALITY PVT. LTD.,mananghospitality262@outlook.com,mananghospitality262@outlook.com,,MANANG HOSPITALITY PVT. LTD.,PAN432548863
DLNLEG4016980,C00004453,PALPA PHARMACEUTICALS PVT. LTD.,,,9.77987E+12,PALPA PHARMACEUTICALS PVT. LTD.,palpapharmaceuticals564@outlook.com,palpapharmaceuticals564@outlook.com,,PALPA PHARMACEUTICALS PVT. LTD.,PAN608753570
DLNIND8690282,R00625845,Ronika,Devi,Rai,9.77985E+12,Ronika Devi Rai,ronika219@gmail.com,ronika219@gmail.com,F,Ronika Devi Rai,PAN234402002
DLNLEG9334212,R32157797,LUMBINI TRAVELS PVT. LTD.,,,9.77986E+12,LUMBINI TRAVELS PVT. LTD.,lumbinitravels925@outlook.com,lumbinitravels925@outlook.com,,LUMBINI TRAVELS PVT. LTD.,PAN353089449
DLNIND3694466,R30102616,Neeti,Saraswati,Limbu,9.77988E+12,Neeti Saraswati Limbu,neeti318@gmail.com,neeti318@gmail.com,F,Neeti Saraswati Limbu,PAN996196919
