dob,pan,email,text0,text1,text2,text3,text4,text5,gender,gfname,mobnum,bank_id,certnum,country,del_flg,doctype,foracid,landnum,relcode,srl_num,certauth,fullname,mailcity,maildist,pertcity,pertdist,rel_type,certplace,lchg_time,rcre_time,saluation,fathername,occupation,perttoleno,pertwardno,spousename,certexpdate,mailtolenum,mailwardnum,nationality,perthosueno,cerissuedate,lchg_user_id,rcre_user_id,cerissuedatead,entity_cre_flg,mailinghouseno,updated_at,preferredname 
2011-02-07T00:00:00.000000,PAN558406246,jajarkotdairyco-op855@outlook.com,,,,,,REFER AC NO :K341000086552402,M,,+977-9823170390,1,,,,,FA3598099171962374,,,5,,LILA ADHIKARI MUKHIYA                                                                                                                                                                                   ,,,,,O,,2018-12-13T15:43:38,2018-12-13T15:43:38,,,,,,,,,,,,,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,LILA ADHIKARI MUKHIYA                                                                                                                                                                                   
1900-01-01T00:00:00.000000,PAN813377590,nepalairlines939@outlook.com,MANGLAWATI,DEVI GUPTA,29/11/2063                                                                                                                                            ,,,,M,,+977-9856247781,1,333079/578,NP,,CITIZENSHIP,FA7072919969727417,053-412222,,2,DAO                                                                                                 ,MANISH KUMAR GUPTA                                                                                                                                                                                      ,MALANGWA,SARLAHI,"BHATANPUR,JITPUR",BARA,A,BARA,2018-12-28T14:10:34,2018-12-28T14:10:34,MR,,,KERADHOKA,03,,,,,,,,RM8868,RM8868,,Y,,2024-08-07 06:58:49.521,MANISH KUMAR GUPTA                                                                                                                                                                                      
1900-01-01T00:00:00.000000,PAN813377590,nepalairlines939@outlook.com,ASHWORYA,DEVI YADAV,13/03/2042                                                                                                                                            ,,,,M,,+977-9856247781,1,65763461,NP,,CITIZENSHIP,FA7072919969727417,,,1,DAO                                                                                                 ,RAM NARESH RAY                                                                                                                                                                                          ,NALANGWA,SARLAHI,NOKAILWA,SARLAHI,A,SARLAHI,2018-12-28T14:10:34,2018-12-28T14:10:34,MR,,,NOKAILWA,01,,,,,,,,RM8868,RM8868,,Y,,2024-08-07 06:58:49.521,RAM NARESH RAY                                                                                                                                                                                          
1900-01-01T00:00:00.000000,PAN629114031,pathivaralogistics755@outlook.com,NAKALI,TWATI,,,,,M,,+977-9847930186,1,16250,NEPAL,,CITIZENSHIP,FA4748279358343888,,,3,JILLA PRASASHAN KARYALAY                                                                            ,BIKASH TWATI                                                                                                                                                                                            ,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,O,BHAKTAPUR,2019-01-20T15:39:46,2019-01-20T15:39:46,MR,,,BHAKTAPUR,04,,,SURYABINAYAK,4.0,NEPALI,,09/10/2060,SM8827,SM8827,,Y,,2024-08-07 06:58:49.521,BIKASH TWATI                                                                                                                                                                                            
1900-01-01T00:00:00.000000,PAN629114031,pathivaralogistics755@outlook.com,DURGA LAXMI,JHANGAJU,,,,,M,,+977-9847930186,1,22071,NEPAL,,CITIZENSHIP,FA4748279358343888,,,4,JILLA PRASASHAN KARYALAY                                                                            ,SUNIL JHANGAJU                                                                                                                                                                                          ,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,O,BHAKTAPUR,2019-01-20T15:39:46,2019-01-20T15:39:46,MR,,,SURYABINAYAK,03,,,SURYABINAYAK,8.0,NEPALI,,05/10/2061,SM8827,SM8827,,Y,,2024-08-07 06:58:49.521,SUNIL JHANGAJU                                                                                                                                                                                          
1900-01-01T00:00:00.000000,PAN629114031,pathivaralogistics755@outlook.com,TIKA MAYA,GORKHALI,,,,,M,,+977-9847930186,1,15159,NEPAL,,CITIZENSHIP,FA4748279358343888,,,5,JILLA PRASASHAN KARYALAY                                                                            ,JAY RAM GORKHALI                                                                                                                                                                                        ,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,O,BHAKTAPUR,2019-01-20T15:39:46,2019-01-20T15:39:46,MR,,,NAGPOKHARI,06,,,NAGPOKHARI,6.0,NEPALI,,16/01/2061,SM8827,SM8827,,Y,,2024-08-07 06:58:49.521,JAY RAM GORKHALI                                                                                                                                                                                        
1900-01-01T00:00:00.000000,PAN629114031,pathivaralogistics755@outlook.com,PANCHA MAYA,LAWAJU,,,,,M,,+977-9847930186,1,34276,NEPAL,,CITIZENSHIP,FA4748279358343888,,,1,JILLA PRASASHAN KARYALAY                                                                            ,ANIL LAWAJU                                                                                                                                                                                             ,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,A,BHAKTAPUR,2019-01-20T15:39:46,2019-01-20T15:39:46,MR,,,BHAKTAPUR,09,,,SURYABINAYAK,8.0,NEPALI,,08/08/2063,SM8827,SM8827,,Y,,2024-08-07 06:58:49.521,ANIL LAWAJU                                                                                                                                                                                             
1900-01-01T00:00:00.000000,PAN629114031,pathivaralogistics755@outlook.com,RAM PYARI,SUWAL,,,,,M,,+977-9847930186,1,26524,NEPAL,,CITIZENSHIP,FA4748279358343888,,,2,JILLA PRASASHAN KARYALAY                                                                            ,SARIF SUWAL                                                                                                                                                                                             ,B HAKTAPUR,BHAKTAPUR,BHAKTAPUR,BHAKTAPUR,O,BHAKTAPUR,2019-01-20T15:39:46,2019-01-20T15:39:46,MR,,,YACHHI,09,,,YACHHI,5.0,NEPALI,,13/05/2062,SM8827,SM8827,,Y,,2024-08-07 06:58:49.521,SARIF SUWAL                                                                                                                                                                                             
2018-06-11T00:00:00.000000,PAN668536553,kanchanjungalogistics925@outlook.com,SUSHILA DEVI AGRAWAL,,,,,,M,,+977-9899139429,1,13298,NP,,CITIZENSHIP,FA3270201392445922,,,1,DAO                                                                                                 ,SHANKAR AGRAWAL                                                                                                                                                                                         ,BIRATNAGAR,MORANG,BIRATNAGAR,MORANG,A,MORANG,2019-02-10T15:57:30,2019-02-10T15:57:30,MR,,,TINTOLIYA,13,,,"MAINROAD,KALIMANDIR",7.0,NEPALI,,23/01/2066,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,SHANKAR AGRAWAL                                                                                                                                                                                         
2017-02-07T00:00:00.000000,PAN723809886,rupasavingsandcreditcooperative845@outlook.com,,,,,,REFFERED TO Q041000444252402,M,,+977-9863484270,1,,,,,FA6348105713885520,,,1,,RAM CHANDRA BHANDARI                                                                                                                                                                                    ,,,,,A,,2019-02-11T14:49:28,2019-02-11T14:49:28,MR,,,,,,,,,,,,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,RAM CHANDRA BHANDARI                                                                                                                                                                                    
2017-02-07T00:00:00.000000,PAN723809886,rupasavingsandcreditcooperative845@outlook.com,,,,,,REFFERED TO Q041000444252402,M,,+977-9863484270,1,,,,,FA6348105713885520,,,2,,RAVICHANDRA JAMARKATTEL                                                                                                                                                                                 ,,,,,A,,2019-02-11T14:49:28,2019-02-11T14:49:28,MR,,,,,,,,,,,,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,RAVICHANDRA JAMARKATTEL                                                                                                                                                                                 
2015-09-15T00:00:00.000000,PAN200433423,dlyticaacademy500@outlook.com,RAJ KUMARI BK,,PROPRIETOR OF ARJUN SUNCHADI UDHYOG                                                                                                                   ,,,,M,,+977-9833054460,1,58081,NEPAL,,CITIZENSHIP,FA7983505380425436,,,1,JILLA PRASASHAN KARYALAYA                                                                           ,ARJUN BISHWAKARMA                                                                                                                                                                                       ,BANDIPUR,TANAHUN,SYANGJA,SYANGJA,A,SYANGJA,2019-02-17T15:50:40,2019-02-17T15:50:40,MR,,,KHIRLUNGDE,09,,,DUMRE,9.0,NEPALI,,28/01/2057,SM9520,SM9520,,Y,,2024-08-07 06:58:49.521,ARJUN BISHWAKARMA                                                                                                                                                                                       
2017-08-20T00:00:00.000000,PAN871468252,kavrepalanchokmedia562@outlook.com,MANESTHA BIBI,,,,,,M,,+977-9829916843,1,21234631,NEPAL,,CITIZENSHIP,FA9003023957215959,,,1,JILLA PRASHASAN                                                                                     ,MUSRAPHA SEKH                                                                                                                                                                                           ,JHAPA,JHAPA,JHAPA,JHAPA,A,JHAPA,2019-02-20T11:06:42,2019-02-20T11:06:42,MR,,,DAMAK,13,,,DAMAK,13.0,NEPALI,,08/03/2039,KP2255,KP2255,,Y,,2024-08-07 06:58:49.521,MUSRAPHA SEKH                                                                                                                                                                                           
2019-02-07T00:00:00.000000,PAN600210736,tamorelectronics865@outlook.com,RADHIKA BANJADE,,,,,,M,,+977-9812775674,1,5639/296/044,NP,,CTA,FA6701144650075343,,,1,DAO                                                                                                 ,BABU RAM BANJARA                                                                                                                                                                                        ,BUTWAL,BUTWAL,BUTWAL,BUTWAL,A,ARGHAKHANCHI,2019-02-20T11:45:34,2019-02-20T11:45:34,MR,,,BISHAL PATH,09,,,BISHAL PATH,11.0,NEPALI,,05/07/2060,KP2255,KP2255,,Y,,2024-08-07 06:58:49.521,BABU RAM BANJARA                                                                                                                                                                                        
2019-02-07T00:00:00.000000,PAN600210736,tamorelectronics865@outlook.com,MAYA DEVI SAPKOTA,,,,,,F,,+977-9812775674,1,160,NP,,CITIZENSHIP,FA6701144650075343,,,2,DAO                                                                                                 ,ANJU SAPKOTA                                                                                                                                                                                            ,RUPANDEHI,RUPANDEHI,GULMI,GULMI,A,GULMI,2019-02-20T11:45:34,2019-02-20T11:45:34,MRS,,,FAKSING,07,,,MAIGAU,11.0,NEPALI,,23/04/2036,KP2255,KP2255,,Y,,2024-08-07 06:58:49.521,ANJU SAPKOTA                                                                                                                                                                                            
2019-02-07T00:00:00.000000,PAN600210736,tamorelectronics865@outlook.com,LAL MAYA TANDAN,,,,,,M,,+977-9812775674,1,2401/1908,NP,,CITIZENSHIP,FA6701144650075343,,,3,DAO                                                                                                 ,TEK BAHADUR TANDAN                                                                                                                                                                                      ,BISHAL PATH,RUPANDEHI,CHATRADEV,ARGHAKHANC,A,ARGHAKHANCHI,2019-02-20T11:45:34,2019-02-20T11:45:34,MR,,,MAULI POKHARI,01,,,11,,NEPALI,,07/10/2043,KP2255,KP2255,,Y,,2024-08-07 06:58:49.521,TEK BAHADUR TANDAN                                                                                                                                                                                      
2013-02-10T00:00:00.000000,PAN608753570,palpapharmaceuticals564@outlook.com,KAMALA CHHETRI,,PROPRIETOR OF NEW UPAHAR FRESH HOUSE                                                                                                                  ,,,,M,,+977-9872633587,1,62187,NEPAL,,CITIZENSHIP,FA3785463930770635,,,1,DAO                                                                                                 ,GOPAL CHHETRI                                                                                                                                                                                           ,BUTWAL,RUPANDEHI,SHYANGJA,SHYANGJA,A,SYANGJA,2019-02-20T11:47:08,2019-02-20T11:47:08,MR,,,ARJUNG CHAUGARI,03,,,DEVINAGAR,11.0,NEPALI,,25/10/2057,SM9520,SM9520,,Y,,2024-08-07 06:58:49.521,GOPAL CHHETRI                                                                                                                                                                                           
2018-05-17T00:00:00.000000,PAN888268690,dlyticahospital731@outlook.com,LATE MADHUMALA DEVI BHAKTA,,CONSTRUCTION                                                                                                                                          ,,,,M,,+977-9878495754,1,152017/4066,NP,,CITIZENSHIP,FA3257804432259527,,,1,DAO                                                                                                 ,PRAVIN BHAKTA                                                                                                                                                                                           ,THAHA,MAKWANPUR,THAHA,MAKWANPUR,A,MAKWANPUR,2019-02-21T14:45:42,2019-02-21T14:45:42,MR,,,GOPALI,03,,,GOPALI,3.0,NEPALI,,05/08/2060,PK2076,PK2076,,Y,,2024-08-07 06:58:49.521,PRAVIN BHAKTA                                                                                                                                                                                           
2018-01-03T00:00:00.000000,PAN931349773,himaldairyproducts393@outlook.com,CHANDRAWATI DEVI UPADHYAY,,PRINCIPAL OF SHREE TIKULIGADH MA. VI                                                                                                                  ,,,,M,,+977-9899756961,1,22988,NEPAL,,CITIZENSHIP,FA5129878673917499,,,1,DAO                                                                                                 ,SHANKAR DUTTA UPADHYAY                                                                                                                                                                                  ,TILOTTAMA,RUPANDEHI,TILOTTAMA,RUPANDEHI,A,RUPANDEHI,2019-02-22T11:07:31,2019-02-22T11:07:31,MR,,,MADRAHANI,11,,,MADRAHANI,11.0,NEPALI,,28/04/2049,SM9520,SM9520,,Y,,2024-08-07 06:58:49.521,SHANKAR DUTTA UPADHYAY                                                                                                                                                                                  
2018-01-03T00:00:00.000000,PAN931349773,himaldairyproducts393@outlook.com,SUBHAWATI GUPTA,,ACCOUNTANT OF SHREE TIKULIGADH MA. VI                                                                                                                 ,,,,M,,+977-9899756961,1,2/20860,NEPAL,,CITIZENSHIP,FA5129878673917499,071-561363,,2,DAO                                                                                                 ,SUNIL KUMAR GUPTA                                                                                                                                                                                       ,TILOTAMMA,RUPANDEHI,TILOTAMMA,RUPANDEHI,A,RUPANDEHI,2019-02-22T11:07:31,2019-02-22T11:07:31,MR,,,MANGALPUR,14,,,MANGALPUR,14.0,NEPALI,,05/02/2059,SM9520,SM9520,,Y,,2024-08-07 06:58:49.521,SUNIL KUMAR GUPTA                                                                                                                                                                                       
2019-01-29T00:00:00.000000,PAN222576654,sunsariventures504@outlook.com,SITA DEVI OKHEDA,,SIGNATORIES AT LAWASAIN MANDIR MARMAT UPABHOKTA SA                                                                                                    ,,,,F,,+977-9833629949,1,71-017400921,NP,,CITIZENSHIP,FA6019685590941599,,,1,DAO                                                                                                 ,SUJATA KUMARI OKHEDA(B.K)                                                                                                                                                                               ,JAYPRITHIVI,BAJHANG,RITHAPARA,BAJHANG,A,BAJHANG,2019-02-22T12:01:23,2019-02-22T12:01:23,MRS,,,DALIT TOLE,09,,,DALIT TOLE,9.0,NEPALI,,20/03/2074,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,SUJATA KUMARI OKHEDA(B.K)                                                                                                                                                                               
2019-01-29T00:00:00.000000,PAN222576654,sunsariventures504@outlook.com,SUNTALI OD,,SIGNATORIES AT LAWASAIN MANDIR MARMAT UPABHOKTA SA                                                                                                    ,,,,F,,+977-9833629949,1,19928,NP,,CITIZENSHIP,FA6019685590941599,,,3,DAO                                                                                                 ,RUPA TIRUWA                                                                                                                                                                                             ,RITHAPATA,BAJHANG,RITHAPATA,BAJHANG,A,BAJHANG,2019-02-22T12:01:23,2019-02-22T12:01:23,MRS,,,,06,,,DALIT TOLE,9.0,NEPALI,,30/05/2060,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,RUPA TIRUWA                                                                                                                                                                                             
2019-01-29T00:00:00.000000,PAN222576654,sunsariventures504@outlook.com,HUDI KAMI,,SIGNATORIES AT LAWASAIN MANDIR MARMAT UPABHOKTA SA                                                                                                    ,,,,M,,+977-9833629949,1,6,NP,,CITIZENSHIP,FA6019685590941599,,,2,DAO                                                                                                 ,RAM BAHADUR KAMI                                                                                                                                                                                        ,JAYPRITHIVI,BAJHANG,RITHAPATA,BAJHANG,A,BAJHANG,2019-02-22T12:01:23,2019-02-22T12:01:23,MR,,,DALIT TOLE,06,,,DALIT TOLE,9.0,NEPALI,,03/04/2041,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,RAM BAHADUR KAMI                                                                                                                                                                                        
2019-01-31T00:00:00.000000,PAN491523472,parsatrading914@outlook.com,SAHID KHATUN,,PROPRIETOR AT ROYAL FURNITURE UDYOG                                                                                                                   ,,,,M,,+977-9811737062,1,0610061/133875,NP,,CITIZENSHIP,FA9853744565679913,,,1,DAO                                                                                                 ,TAJAMMUL ISLAM                                                                                                                                                                                          ,DUHABI,SUNSARI,DUHABI,SUNSARI,A,SUNSARI,2019-02-26T12:16:22,2019-02-26T12:16:22,MR,,,CHHUTABELI,09,,,CHHUTABELI,9.0,NEPALI,,20/10/2065,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,TAJAMMUL ISLAM                                                                                                                                                                                          
2009-10-22T00:00:00.000000,PAN880276201,kailashprintingpress575@outlook.com,SITA LAMICHHANE,,PROPRIETOR AT NEW PUJAN CONSTRUCTION                                                                                                                  ,,,,M,,+977-9821451990,1,617,NP,,CITIZENSHIP,FA7310688739025823,,,1,DAO                                                                                                 ,PURUSHOTAM LAMICHHANE                                                                                                                                                                                   ,HETAUDA,MAKWANPUR,HETAUDA,MAKWANPUR,A,MAKAWANPUR,2019-02-26T15:28:34,2019-02-26T15:28:34,MR,,,CHISAPANI,05,,,CHISAPANI,5.0,NEPALI,,28/09/2051,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,PURUSHOTAM LAMICHHANE                                                                                                                                                                                   
2019-02-07T00:00:00.000000,PAN269568742,nepalheritagetours236@outlook.com,LAXMI DEVI BOHARA,,SIGNATORIES AT RAMKO GHAR DEKHI ODA 7 JODNE SADAK                                                                                                     ,,,,F,,+977-9868908732,1,75-01-70-06651,NP,,CITIZENSHIP,FA4949408242034780,,,1,DAO                                                                                                 ,SUNITA BOHARA                                                                                                                                                                                           ,BEDKOT,KANCHANPUR,BEDKOT,KANCHANPUR,A,KANCHANPUR,2019-02-27T10:28:55,2019-02-27T10:28:55,MRS,,,SIRSAIYA,06,,,SIRSAIYA,6.0,NEPALI,,14/09/2070,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,SUNITA BOHARA                                                                                                                                                                                           
2019-02-07T00:00:00.000000,PAN269568742,nepalheritagetours236@outlook.com,MANJU DEVI BHANDARI,,SIGNATORIES AT RAMKO GHAR DEKHI ODA 7 JODNE SADAK                                                                                                     ,,,,M,,+977-9868908732,1,75-01-73-0070,NP,,CITIZENSHIP,FA4949408242034780,,,2,DAO                                                                                                 ,MAHESH BHANDARI                                                                                                                                                                                         ,BEDKOT,KANCHANPUR,BEDKOT,KANCHANPUR,A,KANCHANPUR,2019-02-27T10:28:55,2019-02-27T10:28:55,MR,,,GAUJI,06,,,GAUJI,6.0,NEPALI,,04/02/2073,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,MAHESH BHANDARI                                                                                                                                                                                         
2019-02-07T00:00:00.000000,PAN269568742,nepalheritagetours236@outlook.com,KALASHI DEVI DHAMI,,SIGNATORIES AT RAMKO GHAR DEKHI ODA 7 JODNE SADAK                                                                                                     ,,,,M,,+977-9868908732,1,976/1154,NP,,CITIZENSHIP,FA4949408242034780,,,3,DAO                                                                                                 ,SHYAM BAHADUR DHAMI                                                                                                                                                                                     ,BEDKOT,KANCHANPUR,BEDKOT,KANCHANPUR,A,DADELDHURA,2019-02-27T10:28:55,2019-02-27T10:28:55,MR,,,GAUJI,06,,,GAUJI,6.0,NEPALI,,08/11/2044,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,SHYAM BAHADUR DHAMI                                                                                                                                                                                     
2019-02-04T00:00:00.000000,PAN758602904,syangjarealestate603@outlook.com,JAYANTI DHAKAL,,,,,,M,,+977-9856135898,1,1345,NEPAL,,CITIZENSHIP,FA7176717632839217,,,1,CITIZENSHIP ADMINISTRATION                                                                          ,GYAN PRASAD DHAKAL                                                                                                                                                                                      ,GORKHA,GORKHA,GORKHA,GORKHA,A,GORKHA,2019-03-11T12:49:35,2019-03-11T12:49:35,,,,SHREENATHKOT,02,,,NAYABASTI,2.0,NEPALI,,04/02/2045,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,GYAN PRASAD DHAKAL                                                                                                                                                                                      
2019-02-04T00:00:00.000000,PAN758602904,syangjarealestate603@outlook.com,CHANDRA KUMARI ARYAL,,,,,,F,,+977-9856135898,1,39055,NEPAL,,CITIZENSHIP,FA7176717632839217,,,3,CITIZENSHIP ADMINISTRATION                                                                          ,SARMILA THAPA CHETRI                                                                                                                                                                                    ,GORKHA,GORKHA,GORKHA,GORKHA,A,GORKHA,2019-03-11T12:49:35,2019-03-11T12:49:35,,,,BAKRANG,06,,,NAYABASTI,12.0,NEPALI,,04/09/2050,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,SARMILA THAPA CHETRI                                                                                                                                                                                    
2019-02-04T00:00:00.000000,PAN758602904,syangjarealestate603@outlook.com,MAINA BARAL,,,,,,M,,+977-9856135898,1,46-01-74-04549,NEPAL,,CITIZENSHIP,FA7176717632839217,,,2,CITIZENSHIP ADMINISTRATION                                                                          ,LAXMI PRASAD BARAL                                                                                                                                                                                      ,GORKHA,GORKHA,GORKHA,GORKHA,A,KASKI,2019-03-11T12:49:35,2019-03-11T12:49:35,,,,POKHARA LEKHNATH,12,,,NAYABASTI,12.0,NEPALI,,21/05/2074,RM1929,RM1929,,Y,,2024-08-07 06:58:49.521,LAXMI PRASAD BARAL                                                                                                                                                                                      
2019-01-22T00:00:00.000000,PAN679940823,pyuthanlogistics659@outlook.com,LAXMI MAYA SHRESTHA,,,,,,M,,+977-9846480841,1,6520,NEPAL,,CITIZENSHIP,FA1323782506001266,,,1,DAO                                                                                                 ,RAM BAHADUR SHRESTHA                                                                                                                                                                                    ,BARPIPAL TOLE,SUNSARI,SUNSARI,SUNSARI,A,RAMECHHAP,2019-03-13T13:12:37,2019-03-13T13:12:37,MR,,,DUHABI,08,,,DUHABI,8.0,NEPALI,,22/05/2045,SS1669,SS1669,,Y,,2024-08-07 06:58:49.521,RAM BAHADUR SHRESTHA                                                                                                                                                                                    
2019-01-22T00:00:00.000000,PAN679940823,pyuthanlogistics659@outlook.com,SOBHA DEVI SING,,,,,,F,,+977-9846480841,1,183069/1393,NEPAL,,CITIZENSHIP,FA1323782506001266,,,3,DAO                                                                                                 ,REKHA SING                                                                                                                                                                                              ,BARPIPAL,SUNSARI,SUNSARI,SUNSARI,A,MAHOTTARI,2019-03-13T13:12:37,2019-03-13T13:12:37,MRS,,,DUHABI,08,,,DUHABI,8.0,NEPALI,,29/11/2063,SS1669,SS1669,,Y,,2024-08-07 06:58:49.521,REKHA SING                                                                                                                                                                                              
2019-01-22T00:00:00.000000,PAN679940823,pyuthanlogistics659@outlook.com,,,,,,,F,,+977-9846480841,1,052032/9436,NP,,CITIZENSHIP,FA1323782506001266,,,2,DAO                                                                                                 ,MUNA TIMSINA BHATTARAI                                                                                                                                                                                  ,SUNSARI,SUNSARI,MORANG,MORANG,A,MORANG,2019-03-13T13:12:37,2019-03-13T13:12:37,MRS,,,BABIYABITA,09,,,DUHABI,8.0,NEPALI,,09/10/2068,SS1669,SS1669,,Y,,2024-08-07 06:58:49.521,MUNA TIMSINA BHATTARAI                                                                                                                                                                                  
2019-01-28T00:00:00.000000,PAN406844287,surkhetagroco-op938@outlook.com,PABITRA GHALE,,SAMITI                                                                                                                                                ,,,,M,,+977-9832583540,1,630/50109,NP,,CITIZENSHIP,FA6083872872909589,,,2,DAO                                                                                                 ,KHADGA BAHADUR GHALE                                                                                                                                                                                    ,KANEPOKHARI,MORANG,KANEPOKHARI,MORANG,A,SUNSARI,2019-03-13T16:45:41,2019-03-13T16:45:41,MR,,,GHALE TOLE,06,,,GHALE TOLE,6.0,NEPALI,,26/09/2050,RM9544,RM9544,,Y,,2024-08-07 06:58:49.521,KHADGA BAHADUR GHALE                                                                                                                                                                                    
