ecdd,panno,cif_id,crm_id,rm_code,grd_name,pur_acct,son_name,emailflag,lchg_time,rcre_time,childdate1,childdate2,childname1,childname2,kyc_status,daught_name,father_name,fath_in_law,mother_name,spouse_name,lchg_user_id,rcre_user_id,duaght_in_law,employergrpid,grd_moth_name,entity_cre_flg,es_mn_tran_amt,es_mn_tran_num,kyc_last_review,referal_foracid,ecdd_last_review,es_annu_tran_amt,es_annu_tran_num,max_amt_per_tran,citizenship_number,neareferal_foracid,online_self_present,updated_at
,PAN871531890,DLNIND6686056,,09B01,SHRI Karki,,Poojan Karki,,17-02-2022 01:02:35,17-02-2022 01:02:35,,,,,Y,Sunisha Karki,LOK Karki,,GOMA DEVI SHIWAKOTI,SUSHMA SHIWAKOTI,FIVUSR,FIVUSR,,,,Y,,,2022-02-17T00:00:00.000000,,,,,,25429/8489,,N,2024-08-07 06:59:12.403
,PAN501986596,DLNIND8221535,,D1B01,AMRIT Rai,,Dorkaji Rai,,17-09-2019 07:37:56,17-09-2019 07:37:56,04-05-2015,,DIPIKA BHANDARI,,,Dhan Rai,KRISHNA Rai,,DIL KUMARI BASNET,AJIT BHANDARI,FIVUSR,FIVUSR,,,,Y,,,,,,,,,55193/7798,,N,2024-08-07 06:59:12.403
,PAN234402002,DLNIND8690282,,H7B01,DEVI Rai,,,,17-10-2019 01:42:10,17-10-2019 01:42:10,,,,,,,KESHAV Rai,,DIL KUMARI GAUTAM,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,78878/1706,,N,2024-08-07 06:59:12.403
,PAN217875834,DLNIND3092463,,,ARJUN Dahal,,Dorkaji Dahal,,18-02-2019 06:42:11,18-02-2019 06:42:11,,,,,,Kiran Dahal,TULSI Dahal,,HUM KUMARI SHRESTHA,SUMITRA SHRESTHA,FIVUSR,FIVUSR,,,,Y,,,,,,,,,99801/8040,,N,2024-08-07 06:59:12.403
,PAN288484684,DLNIND2622447,,90B01,KARNA Thapa,,Sammriddha Thapa,,18-10-2021 06:29:03,18-10-2021 06:29:03,,,,,,Dhan Thapa,POM Thapa,,DIL KUMARI POUDEL CHHITRI,DURGA DEVI POUDAL(BISTA),FIVUSR,FIVUSR,,,HIRA KUMARI POUDEL,Y,,,,,,,,,34281/8773,,N,2024-08-07 06:59:12.403
,PAN143048430,DLNIND3744151,,,LAPTAIN Thakuri,,Swechchha Thakuri,,20-NOV-18,20-NOV-18,,,,,,Kiran Thakuri,BHUKALI Thakuri,,GANDIYA DEVI,SABITRI CHAUDHARY,FIVUSR,FIVUSR,,,,Y,,,,,,,,,97480/6069,,N,2024-08-07 06:59:12.403
Y,PAN642077006,DLNIND9450331,,,Pandey,,,,20-NOV-18,20-NOV-18,,,,,,,KESHAD Pandey,,,,FIVUSR,FIVUSR,,,,Y,,,,,2021-10-03T00:00:00.000000,,,,48723/9301,,N,2024-08-07 06:59:12.403
,PAN747150056,DLNIND5576304,,,MULI Regmi,,Samarpan Regmi,,20-NOV-18,20-NOV-18,,,,,,Anushikha Regmi,RAJ Regmi,CHABI LAL DAS AGRAWAL,MEERA DEVI MODI,VIVEK AGRAWAL,FIVUSR,FIVUSR,,,,Y,,,,,,,,,17522/2835,,N,2024-08-07 06:59:12.403
,PAN792646871,DLNIND5676264,,,Neupane,,,,20-NOV-18,20-NOV-18,,,,,,,LATE Neupane,,,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,38834/4357,,N,2024-08-07 06:59:12.403
,PAN602858021,DLNIND4263447,,,TUL Tandukar,,,,20-NOV-18,20-NOV-18,,,,,,,GUNRAJ Tandukar,,BHAWANA RANJEETKAR,,FIVUSR,FIVUSR,,,PABITRA SHRESTHA,Y,,,,,,,,,48830/9330,,N,2024-08-07 06:59:12.403
,PAN376421978,DLNIND9898224,,,RABILAL Khadka,,Ramprawesh Khadka,,20-NOV-18,20-NOV-18,,,,,,Prabina Khadka,MUKTI Khadka,DEVENDRA BIKRAM G.C.,DALU KUMARI POKHREL,CHANDRA BIKRAM G.C.,FIVUSR,FIVUSR,,,,Y,,,,,,,,,87430/4243,,N,2024-08-07 06:59:12.403
,PAN976589899,DLNIND8212211,,,RUKMANGAT Regmi,,Aavaas Regmi,,20-NOV-18,20-NOV-18,,,,,,Achhami Regmi,MITRALAL Regmi,HUTA NANDA NYOUPANE,PABITRADEVI GYAWALI,SITA NEUPANE(GYAWALI),FIVUSR,FIVUSR,,,SHYAMKALA GYAWALI,Y,,,,,,,,,22075/2366,,N,2024-08-07 06:59:12.403
,PAN729503320,DLNIND1372327,,,PURNA Adhikari,,,,20-NOV-18,20-NOV-18,,,,,,,CHANDRA Adhikari,,INDRA MAYA RAJBANSHI,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,33925/7706,,N,2024-08-07 06:59:12.403
,PAN683139342,DLNIND3732980,,,LATE Lama,,Nawraj Lama,,20-NOV-18,20-NOV-18,,,,,,Lucy Lama,LATE Lama,MANOJ PYAKUREL,LATE AMBIKA DEVI SHARMA,KALPANA SHARMA,FIVUSR,FIVUSR,PRASIKHA SHARMA,,,Y,,,,,,,,,98142/5256,,N,2024-08-07 06:59:12.403
,PAN755710007,DLNIND2830344,,,SUSHIL Adhikari,,Humacanta Adhikari,,20-NOV-18,20-NOV-18,,,,,,Hena Adhikari,KRITYANANDA Adhikari,NANU JHA,PUSPA THAKUR,BIVEK JHA,FIVUSR,FIVUSR,,,HIRA DEVI THAKUR,Y,,,,,,,,,19794/4896,,N,2024-08-07 06:59:12.403
,PAN401676066,DLNIND8738953,,,SUKH Yadav,,Sahil Yadav,,20-NOV-18,20-NOV-18,,,,,,Rajeshwori Yadav,MAHENDRA Yadav,RAM PRATAP PANJIYAR,BINA SAH,PARAS PANJIYAR,FIVUSR,FIVUSR,,,KUL DEVI SAH,Y,,,,,,,,,83434/2146,,N,2024-08-07 06:59:12.403
,PAN646056144,DLNIND6665024,,,BHOJMAN Lama,,Prabidhi Lama,,20-NOV-18,20-NOV-18,,,,,,Sindu Lama,PURNA Lama,RAM KRISHNA MAHARJAN,NANI MAYA MAHARJAN,SHARAN MAHARJAN,FIVUSR,FIVUSR,,,NUCHHE MAYA MAHARJAN,Y,,,,,,,,,71469/4734,,N,2024-08-07 06:59:12.403
,PAN773963914,DLNIND8778682,,,JAY Lama,,Suprim Lama,,20-NOV-18,20-NOV-18,,,,,,Samriddi Lama,SATYANARAYAN Lama,RAM PRASAD MAHATO,CHHATAR DEVI,UPENDRA PRASAD MAHATO,FIVUSR,FIVUSR,,,,Y,,,,,,,,,68080/2929,,N,2024-08-07 06:59:12.403
,PAN849149601,DLNIND7426436,,,BILAT Timalsina,,Rajoj Timalsina,,20-NOV-18,20-NOV-18,,,,,,Ronika Timalsina,SITA Timalsina,BAUYALAL SAH,JAYA DEVI,SUSILA DEVI,FIVUSR,FIVUSR,,,,Y,,,,,,,,,63337/5163,,N,2024-08-07 06:59:12.403
,PAN499792774,DLNIND5461679,,O5B01,LATE Pandey,,Yogeshwar Pandey,,21-FEB-21,21-FEB-21,,,,,,Lucy Pandey,TILAK Pandey,BHAWANI SHANKAR BHATTARAI,MAYA KOIRALA,RATNA KUMAR BHATTARAI,SAURAVP,ES1259,,,,Y,,,,,,,,,91232/5458,,N,2024-08-07 06:59:12.403
,PAN873721196,DLNIND8257521,,09B01,TIL Neupane,,,,22-02-2021 05:19:38,22-02-2021 05:19:38,,,,,,,HARILAL Neupane,,TILRUPA TIMSINA,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,32844/4238,,N,2024-08-07 06:59:12.403
,PAN372339539,DLNIND1138256,,,JOG Maharjan,,Tshetish Maharjan,,22-03-2019 04:08:24,22-03-2019 04:08:24,,,,,,Sriti Maharjan,LAXMI Maharjan,,SURJA MAYA SHRESTHA,RAJENDRA MAN SHRESTHA,FIVUSR,FIVUSR,,,,Y,,,,,,,,,63152/9391,,N,2024-08-07 06:59:12.403
,PAN630828841,DLNIND2035752,,Q5B01,SATYA Shrestha,,Shiva Shrestha,,22-11-2021 07:17:32,22-11-2021 07:17:32,,,,,,Prativa Shrestha,FIRAT Shrestha,,NIRJA DEVI THARUNI,PUNAM KUMARI CHAUDHARY,FIVUSR,FIVUSR,,,,Y,,,,,,,,,14689/2202,,N,2024-08-07 06:59:12.403
,PAN141132761,DLNIND3986994,,,YAKADATTA Shrestha,,Shrikumar Shrestha,,23-01-2019 02:11:54,23-01-2019 02:11:54,,,,,,Suhela Shrestha,DILLI Shrestha,,KAMAL KUMARISAPKOTA,DHRUBA PRASAD ARYAL,FIVUSR,FIVUSR,,,,Y,,,,,,,,,31393/7363,,N,2024-08-07 06:59:12.403
,PAN613246502,DLNIND7227326,,00R01,BAGH Rai,,Praswish Rai,,23-04-2023 03:10:09,20-NOV-18,,,,,,Smeeta Rai,CHANDRA Rai,LALIT BAHADUR GAUCHAN,DHAN KUMARI SHERCHAN,BASANTA GAUCHAN,RG2549,FIVUSR,,,,Y,,,,1687886224524001.0,,,,,87521/7330,,N,2024-08-07 06:59:12.403
,PAN714271279,DLNIND4568821,,21B01,LATE Neupane,,Chumakanta Neupane,,24-07-2024 01:22:11,19-11-2021 02:48:47,,,,,,Prajina Neupane,BINAY Neupane,,PRABHA ARYAL,MONIKA UPADHAYAY,MS1331,FIVUSR,,,GEHENDRA KUMARI,Y,,,,,,,,,97743/1581,,N,2024-08-07 06:59:12.403
,PAN697945863,DLNIND4211643,,47E01,BIRKHA Thapa,,Aavaas Thapa,,27-09-2023 02:59:10,20-NOV-18,,,,,,Prabina Thapa,DAMBER Thapa,,HARIMAYA BASNET,TANKA BAHADUR KHADKA,SB4303,FIVUSR,,,KRISHNA MAYA BASNET,Y,,,,,,,,,25979/4751,,N,2024-08-07 06:59:12.403
,PAN409564003,DLNIND7445925,,O9B01,LAXMIKANT Khadka,,,,28-09-2019 02:25:15,28-09-2019 02:25:15,,,,,,,HOMNATH Khadka,,DURGA DEVI REGMI ( NIRAULA),,FIVUSR,FIVUSR,,,,Y,,,,,,,,,22670/9185,,N,2024-08-07 06:59:12.403
,PAN625322405,DLNIND3781309,,B01,BANDU Bhattarai,,Durlabh Bhattarai,,29-DEC-20,29-DEC-20,,,,,,Rajeshwori Bhattarai,DUKHA Bhattarai,BIKRAM MAHATO,TORI MAHATO,HARE RAM MAHATO,SAURAVP,ES1259,,,,Y,,,,,,,,,71197/3569,,N,2024-08-07 06:59:12.403
,PAN455824426,DLNIND8636016,,01B01,MOTI Poudel,,,,05-12-2021 01:00:47,05-12-2021 01:00:47,,,,,Y,,JAGATI Poudel,,MAN KUMARI LAMSAL,,FIVUSR,FIVUSR,,,DEVI SANA LAMSAL,Y,,,2021-12-05T00:00:00.000000,,,,,,60036/7916,,N,2024-08-07 06:59:12.403
,PAN839648484,DLNIND7872351,,O8B01,RATNA Limbu,,,,12-08-2020 05:24:06,12-08-2020 05:24:06,,,,,,,PREM Limbu,,DHAN KUMARI NEWAR,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,15815/3824,,N,2024-08-07 06:59:12.403
,PAN416982678,DLNIND1243944,,01B01,KHADGA Thakuri,,,,18-01-2022 04:37:55,18-01-2022 04:37:55,,,,,Y,,PURNA Thakuri,,BISHNU MAYA BISTA,,FIVUSR,FIVUSR,,,CHANDRA MAYA KHADKA,Y,,,2022-01-18T00:00:00.000000,,,,,,59184/4265,,N,2024-08-07 06:59:12.403
,PAN588972956,DLNIND4071562,,01B01,RAM Dahal,,,,18-08-2019 11:31:43,18-08-2019 11:31:43,,,,,,,DIL Dahal,,TULMAYA BASNET,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,68311/2915,,N,2024-08-07 06:59:12.403
,PAN960820793,DLNIND4781798,,,DURGA Yadav,,,,20-NOV-18,20-NOV-18,,,,,,,GOVINDA Yadav,,DURGA KUMARI SHAHI,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,76683/5032,,N,2024-08-07 06:59:12.403
,PAN230636400,DLNIND5509870,,,DHAN Limbu,,,,20-NOV-18,20-NOV-18,,,,,,,RAM Limbu,,AUSTA MAHARJAN,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,22667/2076,,N,2024-08-07 06:59:12.403
,PAN473804509,DLNIND4269310,,01B01,RANGALAL Acharya,,,,23-04-2021 02:00:34,23-04-2021 02:00:34,,,,,,,RANA Acharya,,MAN MAYA ANGDEMBE,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,23769/8492,,N,2024-08-07 06:59:12.403
,PAN861110758,DLNIND4269492,,S4B01,BALARAM poudel,,Nawraj poudel,,26-09-2019 03:22:35,26-09-2019 03:22:35,,,,,,Ojina poudel,TEB poudel,,SABITRA DEVI BARAL,MITHIILA KUMARI PAUDEL,FIVUSR,FIVUSR,,,,Y,,,,,,,,,94557/4810,,N,2024-08-07 06:59:12.403
,PAN479408245,DLNIND7537080,,,ASARFI Neupane,,,,30-12-2018 03:22:00,30-12-2018 03:22:00,,,,,,,RAMRUP Neupane,,SANGEETA KUMARI,,FIVUSR,FIVUSR,,,,Y,,,,,,,,,43676/1112,,N,2024-08-07 06:59:12.403
,PAN996196919,DLNIND3694466,,01B01,KALE Limbu,,,,,,,,,,,,BHAJU Limbu,,,,,,,,,,,,,,,,,,88494/2879,,N,2024-08-07 06:59:12.403
,PAN690459021,DLNIND1550667,,34B01,HARASUR Dahal,,Poshan Dahal,,13-03-2022 09:41:05,13-03-2022 09:41:05,,,,,Y,Prativa Dahal,KHEKTU Dahal,,FULSARI RAJBANSHI,BISHNU KURMI,FIVUSR,FIVUSR,,,,Y,,,2022-03-13T00:00:00.000000,,,,,,66695/6030,,N,2024-08-07 06:59:12.403
,PAN140168943,DLNIND9286944,,,HIRA Mainali,,,,20-NOV-18,20-NOV-18,,,,,,,RAM Mainali,,LEELA DEVI,,FIVUSR,FIVUSR,,,JOKHNI DEVI,Y,,,,,,,,,16871/9249,,N,2024-08-07 06:59:12.403
,PAN182388122,DLNIND1498614,,52B01,ASHARFI Rai,,,,24-07-2022 03:31:37,27-02-2022 09:57:08,,,,,Y,,DINESHWAR Rai,,DROPADI KUMARI,,MS2962,FIVUSR,,,JAHARI DEVI,Y,,,2022-02-27T00:00:00.000000,525751729309001.0,,,,,81339/9015,,N,2024-08-07 06:59:12.403
,PAN696296726,DLNIND6782843,,B01,RAM Rana,,,,26-03-2022 12:09:21,26-03-2022 12:09:21,,,,,Y,,BHIM Rana,,DHARMASHILA DEVI,,FIVUSR,FIVUSR,,,,Y,,,2022-03-26T00:00:00.000000,,,,,,81070/1601,,N,2024-08-07 06:59:12.403
,PAN108679158,DLNIND3186116,,R01,KRISHNA Dahal,,Hrisheekesh Dahal,,26-03-2022 12:09:25,26-03-2022 12:09:25,,,,,Y,Anushikha Dahal,NETRA Dahal,,BIMALA THAPALIYA,YEDU PRASAD TRIPATHI,FIVUSR,FIVUSR,,,,Y,,,2022-03-26T00:00:00.000000,,,,,,58857/1274,,N,2024-08-07 06:59:12.403
,PAN173115976,DLNIND1242207,,B01,SURYA Maharjan,,Kalyan Maharjan,,26-03-2022 12:09:50,26-03-2022 12:09:50,,,,,Y,Aparajita Maharjan,SUNDAR Maharjan,,GANGA MAYA WAIBA,PHUL MAYA MOKTAN,FIVUSR,FIVUSR,,,,Y,,,2022-03-26T00:00:00.000000,,,,,,25266/8821,,N,2024-08-07 06:59:12.403
,PAN185594326,DLNIND5601256,,B01,BISHWA Rana,,,,26-03-2022 12:09:51,26-03-2022 12:09:51,,,,,Y,,HARI Rana,,SUMINTRA KALWAR JAISWAL,,FIVUSR,FIVUSR,,,,Y,,,2022-03-26T00:00:00.000000,,,,,,46965/2062,,N,2024-08-07 06:59:12.403
,PAN160990648,DLNIND6192226,,B01,MADHU Maharjan,,,,26-03-2022 12:09:53,26-03-2022 12:09:53,,,,,Y,,SUJIT Maharjan,,SUSHMA NEUPANE,,FIVUSR,FIVUSR,,,GOMA DEVVI NEUPANE,Y,,,2022-03-26T00:00:00.000000,,,,,,42508/1646,,N,2024-08-07 06:59:12.403
,PAN904684013,DLNIND7387806,,B01,badri Acharya,,Kalyan Acharya,,26-03-2022 12:09:55,26-03-2022 12:09:55,,,,,Y,Suhela Acharya,HEMAN Acharya,MAHARCHAN MUKHIYA,SUNAR DEVI,BIJNANDAN MUKHIYA,FIVUSR,FIVUSR,,,,Y,,,2022-03-26T00:00:00.000000,,,,,,95370/6662,,N,2024-08-07 06:59:12.403
,PAN588289495,DLNIND6021714,,52B01,SUBELAL Sharma,,Shrikumar Sharma,,27-02-2022 09:57:07,27-02-2022 09:57:07,,,,,Y,Srigeeta Sharma,JIREKHAN Sharma,RAMU PRASAD GUPTA,BINDI DEVI,SHYAM PRASAD GUPTA,FIVUSR,FIVUSR,,,,Y,,,2022-02-27T00:00:00.000000,,,,,,82380/9892,,N,2024-08-07 06:59:12.403
,PAN324017723,DLNIND1842225,,E2B01,AJABI Thakuri,,Dikpal Thakuri,,27-02-2022 09:58:05,27-02-2022 09:58:05,,,,,Y,Samriddi Thakuri,SUBE Thakuri,,RAM SUNAIR DEVI YADAV,RAJ KUMARI YADAV,FIVUSR,FIVUSR,,,,Y,,,2022-02-27T00:00:00.000000,,,,,,33849/6407,,N,2024-08-07 06:59:12.403
,PAN502308017,DLNIND2129887,,B01,bala Acharya,,Chumakanta Acharya,,29-03-2022 07:44:06,29-03-2022 07:44:06,,,,,Y,Sunisha Acharya,NANDA Acharya,KALU PADHYA,NANNAKALI ACHARYA,BISHNU HARI PADHYA,FIVUSR,FIVUSR,ratna subedi / sarsati sharma,,,Y,,,2022-03-29T00:00:00.000000,,,,,,23042/1762,,N,2024-08-07 06:59:12.403
,PAN503838478,DLNIND7235296,,B01,jhakhan Maharjan,,Pramil Maharjan,,29-03-2022 07:44:07,29-03-2022 07:44:07,,,,,Y,Ronika Maharjan,MOJE Maharjan,,RESHMAN DEVI,BINDU DEVI,FIVUSR,FIVUSR,,,,Y,,,2022-03-29T00:00:00.000000,,,,,,47972/2869,,N,2024-08-07 06:59:12.403
,PAN859562290,DLNIND9997823,,B01,dande Karki,,Bashuki Karki,,29-03-2022 07:44:12,29-03-2022 07:44:12,,,,,Y,Swekchha Karki,MUNE Karki,CHANDRE KHATRI,ANURUPA KHATRI,GANESH KC,FIVUSR,FIVUSR,,,,Y,,,2022-03-29T00:00:00.000000,,,,,,68515/9056,,N,2024-08-07 06:59:12.403
,PAN986235560,DLNIND6852316,,B01,PUNTE Rai,,Shashindra Rai,,29-03-2022 07:44:16,29-03-2022 07:44:16,,,,,Y,Nishar Rai,SETE Rai,,SAILI PARIYAR,BHUNTE DAMAI,FIVUSR,FIVUSR,,,,Y,,,2022-03-29T00:00:00.000000,,,,,,35569/4302,,N,2024-08-07 06:59:12.403
