grandfather_name,son_name,pur_acct,childdate1,childdate2,childname1,childname2,daughter_name,father_name,father_in_law,mother_name,spouse_name,duaghter_in_law,grand_moth_name
Kiran Gurung,Bikash Gurung,DP4449627,2017-12-23,2017-12-10,Gopal Gurung,Sunita Gurung,Radha Gurung,Shyam Gurung,Bikash Gurung,Gita Gurung,Sunita Gurung,Sabita Gurung,Sita Gurung
Bikash Ghimire,Anil Ghimire,WM6268672,2010-11-04,2022-11-21,Deepak Ghimire,Manoj Ghimire,Sita Ghimire,Deepak Ghimire,Shyam Ghimire,Laxmi Ghimire,Deepak Ghimire,Gita Ghimire,Radha Ghimire
Bikash Subedi,Shyam Subedi,WM5085909,2007-09-20,2018-02-08,Kiran Subedi,Ramesh Subedi,Maya Subedi,Shyam Subedi,Shyam Subedi,Sunita Subedi,Laxmi Subedi,Radha Subedi,Maya Subedi
Anil Gurung,Deepak Gurung,OX4830297,2021-11-29,2007-02-02,Manoj Gurung,Gita Gurung,Rita Gurung,Kiran Gurung,Kiran Gurung,Sunita Gurung,Sabita Gurung,Sunita Gurung,Laxmi Gurung
Kiran Regmi,Hari Regmi,XX4724425,2012-01-08,2023-06-14,Kamala Regmi,Shyam Regmi,Sabita Regmi,Bikash Regmi,Deepak Regmi,Sabita Regmi,Sabita Regmi,Laxmi Regmi,Sunita Regmi
Anil Thapa,Kiran Thapa,SN8823142,2016-04-17,2009-01-04,Maya Thapa,Sunita Thapa,Radha Thapa,Shyam Thapa,Ram Thapa,Sunita Thapa,Manoj Thapa,Sunita Thapa,Kamala Thapa
Bikash Magar,Ramesh Magar,EU9385467,2016-05-05,2008-06-25,Bikash Magar,Maya Magar,Radha Magar,Anil Magar,Anil Magar,Maya Magar,Gopal Magar,Gita Magar,Rita Magar
Manoj Magar,Bikash Magar,EZ3469667,2021-12-21,2021-09-29,Ram Magar,Maya Magar,Rita Magar,Kiran Magar,Gopal Magar,Rita Magar,Sunita Magar,Gita Magar,Radha Magar
Anil Dhakal,Shyam Dhakal,MB8832360,2015-08-03,2019-03-10,Maya Dhakal,Asha Dhakal,Sunita Dhakal,Shyam Dhakal,Shyam Dhakal,Laxmi Dhakal,Kiran Dhakal,Maya Dhakal,Gita Dhakal
Gopal Adhikari,Ram Adhikari,NW7049161,2010-06-02,2009-03-23,Gita Adhikari,Ramesh Adhikari,Gita Adhikari,Shyam Adhikari,Anil Adhikari,Sita Adhikari,Kamala Adhikari,Maya Adhikari,Rita Adhikari
Anil Poudel,Ram Poudel,ER7005764,2011-05-05,2019-12-19,Anil Poudel,Sabita Poudel,Radha Poudel,Bikash Poudel,Anil Poudel,Sabita Poudel,Hari Poudel,Sunita Poudel,Sita Poudel
Kiran Bhattarai,Ramesh Bhattarai,GP1098149,2022-07-07,2021-08-26,Ram Bhattarai,Hari Bhattarai,Kamala Bhattarai,Gopal Bhattarai,Hari Bhattarai,Maya Bhattarai,Maya Bhattarai,Gita Bhattarai,Rita Bhattarai
Ramesh Subedi,Gopal Subedi,VB7105600,2016-10-14,2020-11-25,Radha Subedi,Sabita Subedi,Sunita Subedi,Manoj Subedi,Shyam Subedi,Rita Subedi,Ramesh Subedi,Radha Subedi,Maya Subedi
Gopal Ghimire,Kiran Ghimire,KI9013579,2020-03-20,2018-06-15,Sunita Ghimire,Sita Ghimire,Laxmi Ghimire,Deepak Ghimire,Shyam Ghimire,Laxmi Ghimire,Maya Ghimire,Laxmi Ghimire,Laxmi Ghimire
Gopal Dhakal,Deepak Dhakal,QB3540600,2018-06-22,2013-09-15,Laxmi Dhakal,Sabita Dhakal,Sabita Dhakal,Deepak Dhakal,Manoj Dhakal,Radha Dhakal,Hari Dhakal,Asha Dhakal,Asha Dhakal
Deepak Acharya,Gopal Acharya,ED6917508,2009-01-26,2020-12-04,Kiran Acharya,Ramesh Acharya,Radha Acharya,Hari Acharya,Manoj Acharya,Rita Acharya,Radha Acharya,Laxmi Acharya,Laxmi Acharya
Anil Basnet,Gopal Basnet,HS5616385,2019-08-23,2024-04-18,Gopal Basnet,Sabita Basnet,Gita Basnet,Deepak Basnet,Ramesh Basnet,Gita Basnet,Kamala Basnet,Laxmi Basnet,Sabita Basnet
Manoj Acharya,Hari Acharya,ON7506325,2010-10-14,2014-01-23,Gita Acharya,Gopal Acharya,Laxmi Acharya,Kiran Acharya,Hari Acharya,Gita Acharya,Kiran Acharya,Sabita Acharya,Sabita Acharya
Gopal Thapa,Deepak Thapa,SJ4330937,2019-05-21,2022-07-20,Deepak Thapa,Sunita Thapa,Sita Thapa,Gopal Thapa,Hari Thapa,Gita Thapa,Radha Thapa,Sunita Thapa,Radha Thapa
Manoj Tamang,Kiran Tamang,DJ3503027,2021-04-26,2006-09-14,Sabita Tamang,Gita Tamang,Laxmi Tamang,Ram Tamang,Hari Tamang,Radha Tamang,Sita Tamang,Maya Tamang,Sabita Tamang
Gopal Regmi,Anil Regmi,EP6585207,2011-10-16,2023-08-29,Sabita Regmi,Gita Regmi,Asha Regmi,Bikash Regmi,Kiran Regmi,Laxmi Regmi,Asha Regmi,Radha Regmi,Rita Regmi
Gopal Basnet,Deepak Basnet,TJ9222206,2019-09-30,2019-06-05,Ram Basnet,Sunita Basnet,Maya Basnet,Deepak Basnet,Manoj Basnet,Rita Basnet,Hari Basnet,Sita Basnet,Radha Basnet
Anil Regmi,Bikash Regmi,VH0596613,2009-04-28,2010-01-16,Hari Regmi,Sabita Regmi,Rita Regmi,Manoj Regmi,Gopal Regmi,Radha Regmi,Gita Regmi,Gita Regmi,Radha Regmi
Ramesh Tamang,Shyam Tamang,QD4955908,2013-05-10,2009-01-27,Sita Tamang,Ramesh Tamang,Asha Tamang,Ram Tamang,Anil Tamang,Maya Tamang,Sabita Tamang,Maya Tamang,Radha Tamang
Gopal Shrestha,Deepak Shrestha,SF0511519,2020-01-28,2020-01-25,Kiran Shrestha,Bikash Shrestha,Rita Shrestha,Ramesh Shrestha,Gopal Shrestha,Sunita Shrestha,Hari Shrestha,Sunita Shrestha,Sunita Shrestha
Ramesh Chhetri,Anil Chhetri,YQ2665712,2023-06-29,2017-10-22,Asha Chhetri,Laxmi Chhetri,Asha Chhetri,Shyam Chhetri,Ramesh Chhetri,Sunita Chhetri,Sunita Chhetri,Sabita Chhetri,Radha Chhetri
Deepak Magar,Deepak Magar,XP1454015,2016-10-06,2024-06-18,Kiran Magar,Gita Magar,Sabita Magar,Hari Magar,Anil Magar,Laxmi Magar,Sita Magar,Asha Magar,Gita Magar
Gopal Chhetri,Shyam Chhetri,PR0264531,2024-03-20,2009-12-07,Bikash Chhetri,Maya Chhetri,Maya Chhetri,Shyam Chhetri,Ram Chhetri,Rita Chhetri,Gita Chhetri,Rita Chhetri,Laxmi Chhetri
Manoj KC,Anil KC,RS0730335,2014-01-03,2007-08-19,Anil KC,Deepak KC,Asha KC,Bikash KC,Deepak KC,Radha KC,Sabita KC,Asha KC,Radha KC
Hari Acharya,Manoj Acharya,QQ6225913,2006-11-16,2018-12-24,Asha Acharya,Gopal Acharya,Kamala Acharya,Kiran Acharya,Ramesh Acharya,Gita Acharya,Sabita Acharya,Maya Acharya,Laxmi Acharya
Shyam Dhakal,Gopal Dhakal,MI1884655,2019-10-15,2022-07-21,Anil Dhakal,Ramesh Dhakal,Asha Dhakal,Manoj Dhakal,Manoj Dhakal,Asha Dhakal,Rita Dhakal,Asha Dhakal,Kamala Dhakal
Shyam KC,Ramesh KC,GE9977683,2007-07-25,2016-05-09,Sunita KC,Asha KC,Maya KC,Hari KC,Deepak KC,Sunita KC,Ram KC,Rita KC,Gita KC
Hari Basnet,Shyam Basnet,AY9389132,2017-12-04,2017-03-06,Ram Basnet,Hari Basnet,Sunita Basnet,Anil Basnet,Gopal Basnet,Radha Basnet,Sabita Basnet,Laxmi Basnet,Rita Basnet
Deepak Karki,Kiran Karki,XO7121136,2016-10-19,2022-09-20,Bikash Karki,Kiran Karki,Rita Karki,Shyam Karki,Bikash Karki,Sita Karki,Deepak Karki,Laxmi Karki,Rita Karki
Shyam Lama,Anil Lama,WG4641804,2007-07-19,2007-01-25,Sabita Lama,Sita Lama,Sita Lama,Shyam Lama,Ramesh Lama,Kamala Lama,Radha Lama,Rita Lama,Sita Lama
Shyam Acharya,Hari Acharya,WP3243075,2007-01-08,2024-05-10,Ram Acharya,Asha Acharya,Sabita Acharya,Bikash Acharya,Anil Acharya,Kamala Acharya,Bikash Acharya,Kamala Acharya,Laxmi Acharya
Manoj Magar,Ram Magar,EB2494712,2020-07-06,2014-06-10,Sunita Magar,Ram Magar,Asha Magar,Anil Magar,Anil Magar,Sunita Magar,Manoj Magar,Sunita Magar,Asha Magar
Anil Poudel,Kiran Poudel,AJ7662280,2010-06-08,2011-06-13,Maya Poudel,Hari Poudel,Sita Poudel,Hari Poudel,Gopal Poudel,Radha Poudel,Deepak Poudel,Maya Poudel,Rita Poudel
Ramesh Lama,Anil Lama,DN1960493,2015-12-27,2011-12-21,Deepak Lama,Kiran Lama,Sabita Lama,Kiran Lama,Deepak Lama,Gita Lama,Radha Lama,Sita Lama,Sabita Lama
Bikash Dhakal,Bikash Dhakal,OM4243368,2008-11-30,2019-05-03,Laxmi Dhakal,Asha Dhakal,Sabita Dhakal,Kiran Dhakal,Ram Dhakal,Sabita Dhakal,Radha Dhakal,Kamala Dhakal,Sabita Dhakal
Bikash Regmi,Bikash Regmi,NQ2964837,2022-10-21,2016-04-12,Ramesh Regmi,Sabita Regmi,Asha Regmi,Deepak Regmi,Manoj Regmi,Laxmi Regmi,Shyam Regmi,Sita Regmi,Asha Regmi
Ramesh Basnet,Shyam Basnet,AJ3938336,2011-07-19,2015-09-27,Radha Basnet,Maya Basnet,Sunita Basnet,Bikash Basnet,Anil Basnet,Asha Basnet,Rita Basnet,Sita Basnet,Rita Basnet
Ramesh Adhikari,Deepak Adhikari,ZE1027885,2014-03-22,2008-01-20,Sita Adhikari,Ramesh Adhikari,Sunita Adhikari,Anil Adhikari,Shyam Adhikari,Radha Adhikari,Ram Adhikari,Maya Adhikari,Rita Adhikari
Bikash Basnet,Hari Basnet,MB0910237,2008-10-03,2019-08-09,Gopal Basnet,Kamala Basnet,Rita Basnet,Shyam Basnet,Manoj Basnet,Laxmi Basnet,Bikash Basnet,Kamala Basnet,Sita Basnet
Gopal Karki,Anil Karki,QY2689294,2022-04-22,2011-11-27,Shyam Karki,Kiran Karki,Gita Karki,Manoj Karki,Kiran Karki,Gita Karki,Sita Karki,Gita Karki,Sunita Karki
Ram Magar,Hari Magar,JQ0697799,2023-02-09,2024-01-24,Laxmi Magar,Hari Magar,Rita Magar,Ramesh Magar,Kiran Magar,Radha Magar,Maya Magar,Gita Magar,Sita Magar
Deepak Bhattarai,Bikash Bhattarai,ZH9580966,2019-02-27,2021-09-05,Ramesh Bhattarai,Gopal Bhattarai,Asha Bhattarai,Bikash Bhattarai,Kiran Bhattarai,Maya Bhattarai,Maya Bhattarai,Asha Bhattarai,Sabita Bhattarai
Ramesh KC,Deepak KC,EG2086752,2021-09-25,2014-01-28,Laxmi KC,Sita KC,Maya KC,Ramesh KC,Anil KC,Asha KC,Rita KC,Laxmi KC,Maya KC
Gopal Lama,Kiran Lama,KX0125639,2017-02-11,2011-10-09,Rita Lama,Manoj Lama,Sabita Lama,Deepak Lama,Manoj Lama,Asha Lama,Ram Lama,Rita Lama,Maya Lama
Anil Acharya,Gopal Acharya,GZ7368264,2021-04-26,2017-06-09,Hari Acharya,Deepak Acharya,Laxmi Acharya,Deepak Acharya,Gopal Acharya,Maya Acharya,Gopal Acharya,Sita Acharya,Sabita Acharya
Anil Subedi,Manoj Subedi,CI4481402,2015-10-21,2015-12-15,Maya Subedi,Kiran Subedi,Gita Subedi,Bikash Subedi,Manoj Subedi,Rita Subedi,Sabita Subedi,Sita Subedi,Laxmi Subedi
Ramesh Chhetri,Shyam Chhetri,YG8247735,2018-03-29,2015-06-03,Radha Chhetri,Maya Chhetri,Sunita Chhetri,Manoj Chhetri,Manoj Chhetri,Sita Chhetri,Laxmi Chhetri,Kamala Chhetri,Gita Chhetri
Kiran Acharya,Hari Acharya,YO5513954,2019-01-09,2022-05-02,Gita Acharya,Sita Acharya,Sita Acharya,Shyam Acharya,Shyam Acharya,Asha Acharya,Ramesh Acharya,Sunita Acharya,Sita Acharya
Shyam KC,Kiran KC,OJ2500154,2007-05-04,2007-06-23,Anil KC,Sunita KC,Sunita KC,Manoj KC,Shyam KC,Sita KC,Sunita KC,Rita KC,Rita KC
Manoj Thapa,Bikash Thapa,VX7015392,2021-01-24,2022-07-03,Radha Thapa,Kamala Thapa,Asha Thapa,Kiran Thapa,Kiran Thapa,Rita Thapa,Manoj Thapa,Sunita Thapa,Sabita Thapa
Hari Magar,Manoj Magar,XH0551751,2020-01-03,2009-07-24,Kamala Magar,Hari Magar,Rita Magar,Manoj Magar,Hari Magar,Rita Magar,Ramesh Magar,Sunita Magar,Gita Magar
Ram Regmi,Hari Regmi,OD6355742,2024-03-02,2018-03-25,Gopal Regmi,Ramesh Regmi,Gita Regmi,Hari Regmi,Shyam Regmi,Gita Regmi,Sabita Regmi,Sita Regmi,Rita Regmi
Anil KC,Bikash KC,OZ5804391,2022-03-25,2014-03-04,Sunita KC,Ramesh KC,Rita KC,Manoj KC,Hari KC,Sunita KC,Hari KC,Sita KC,Sabita KC
Shyam Rai,Ramesh Rai,WO0597998,2011-06-06,2021-04-03,Manoj Rai,Hari Rai,Radha Rai,Manoj Rai,Anil Rai,Sita Rai,Ramesh Rai,Rita Rai,Laxmi Rai
Kiran Rai,Shyam Rai,ZM1342592,2021-04-20,2012-08-28,Rita Rai,Hari Rai,Sabita Rai,Deepak Rai,Bikash Rai,Maya Rai,Deepak Rai,Rita Rai,Sunita Rai
Gopal KC,Ramesh KC,RN1186921,2016-03-15,2017-06-18,Radha KC,Sita KC,Laxmi KC,Kiran KC,Anil KC,Asha KC,Gopal KC,Sita KC,Laxmi KC
Bikash Poudel,Kiran Poudel,DI3094487,2024-03-03,2019-02-14,Ramesh Poudel,Gopal Poudel,Kamala Poudel,Bikash Poudel,Gopal Poudel,Sita Poudel,Anil Poudel,Gita Poudel,Kamala Poudel
Deepak Adhikari,Bikash Adhikari,SQ6798894,2015-06-17,2018-11-03,Hari Adhikari,Sabita Adhikari,Maya Adhikari,Bikash Adhikari,Bikash Adhikari,Rita Adhikari,Asha Adhikari,Sita Adhikari,Sunita Adhikari
Kiran Poudel,Ram Poudel,PC8768446,2020-10-01,2020-03-10,Ramesh Poudel,Kiran Poudel,Sita Poudel,Gopal Poudel,Anil Poudel,Radha Poudel,Maya Poudel,Radha Poudel,Sabita Poudel
Kiran Shrestha,Anil Shrestha,TZ8025908,2008-12-16,2007-11-16,Rita Shrestha,Maya Shrestha,Kamala Shrestha,Hari Shrestha,Kiran Shrestha,Asha Shrestha,Kiran Shrestha,Radha Shrestha,Rita Shrestha
Ram Adhikari,Ramesh Adhikari,FB4341053,2009-07-24,2013-05-23,Ram Adhikari,Manoj Adhikari,Gita Adhikari,Anil Adhikari,Deepak Adhikari,Gita Adhikari,Gita Adhikari,Kamala Adhikari,Rita Adhikari
Deepak Subedi,Bikash Subedi,PX1783094,2013-11-16,2009-12-15,Radha Subedi,Asha Subedi,Laxmi Subedi,Bikash Subedi,Anil Subedi,Laxmi Subedi,Rita Subedi,Laxmi Subedi,Maya Subedi
Shyam Dhakal,Ram Dhakal,ML2323748,2022-08-25,2015-01-30,Hari Dhakal,Radha Dhakal,Laxmi Dhakal,Hari Dhakal,Anil Dhakal,Sabita Dhakal,Laxmi Dhakal,Sita Dhakal,Sita Dhakal
Gopal Lama,Deepak Lama,KF5678652,2011-01-04,2008-12-27,Ramesh Lama,Kamala Lama,Sunita Lama,Hari Lama,Manoj Lama,Sunita Lama,Rita Lama,Maya Lama,Laxmi Lama
Ramesh Ghimire,Bikash Ghimire,RE4071755,2016-11-29,2007-05-30,Rita Ghimire,Sabita Ghimire,Rita Ghimire,Ramesh Ghimire,Bikash Ghimire,Kamala Ghimire,Hari Ghimire,Asha Ghimire,Laxmi Ghimire
Bikash Subedi,Deepak Subedi,UT6115130,2021-10-22,2023-01-01,Hari Subedi,Laxmi Subedi,Sabita Subedi,Bikash Subedi,Hari Subedi,Radha Subedi,Rita Subedi,Gita Subedi,Maya Subedi
Manoj Gurung,Gopal Gurung,OQ8322499,2011-01-21,2023-10-18,Asha Gurung,Kamala Gurung,Gita Gurung,Ramesh Gurung,Manoj Gurung,Laxmi Gurung,Gita Gurung,Kamala Gurung,Sita Gurung
Gopal Chhetri,Manoj Chhetri,PM4336751,2020-09-22,2011-04-16,Sunita Chhetri,Asha Chhetri,Sita Chhetri,Kiran Chhetri,Gopal Chhetri,Radha Chhetri,Rita Chhetri,Kamala Chhetri,Sita Chhetri
Bikash Bhattarai,Anil Bhattarai,PY4504961,2017-08-11,2022-03-22,Anil Bhattarai,Deepak Bhattarai,Kamala Bhattarai,Ramesh Bhattarai,Deepak Bhattarai,Radha Bhattarai,Asha Bhattarai,Asha Bhattarai,Kamala Bhattarai
Gopal Shrestha,Ramesh Shrestha,SN9706142,2013-04-19,2010-03-24,Radha Shrestha,Anil Shrestha,Maya Shrestha,Shyam Shrestha,Shyam Shrestha,Sita Shrestha,Ram Shrestha,Kamala Shrestha,Sita Shrestha
Hari Rai,Ramesh Rai,OR2532815,2017-06-16,2007-03-13,Hari Rai,Bikash Rai,Radha Rai,Manoj Rai,Manoj Rai,Gita Rai,Radha Rai,Sita Rai,Kamala Rai
Manoj Shrestha,Anil Shrestha,KK2299388,2011-12-16,2018-02-18,Shyam Shrestha,Deepak Shrestha,Rita Shrestha,Deepak Shrestha,Ramesh Shrestha,Rita Shrestha,Gopal Shrestha,Radha Shrestha,Kamala Shrestha
Ram Dhakal,Deepak Dhakal,PZ3809664,2024-02-03,2024-01-13,Asha Dhakal,Laxmi Dhakal,Laxmi Dhakal,Manoj Dhakal,Anil Dhakal,Sabita Dhakal,Maya Dhakal,Maya Dhakal,Sita Dhakal
Bikash Rijal,Hari Rijal,GY5011952,2023-08-27,2015-05-31,Ramesh Rijal,Anil Rijal,Sabita Rijal,Kiran Rijal,Shyam Rijal,Sabita Rijal,Kamala Rijal,Laxmi Rijal,Gita Rijal
Hari Subedi,Anil Subedi,YK0063776,2014-07-21,2020-08-03,Rita Subedi,Ramesh Subedi,Radha Subedi,Anil Subedi,Anil Subedi,Gita Subedi,Ramesh Subedi,Maya Subedi,Laxmi Subedi
Ram Rai,Kiran Rai,SC6220737,2009-12-12,2022-08-16,Rita Rai,Ram Rai,Radha Rai,Deepak Rai,Shyam Rai,Gita Rai,Kamala Rai,Sunita Rai,Maya Rai
Deepak Bhattarai,Shyam Bhattarai,WA5985594,2015-09-17,2014-01-14,Asha Bhattarai,Radha Bhattarai,Kamala Bhattarai,Ram Bhattarai,Kiran Bhattarai,Rita Bhattarai,Manoj Bhattarai,Asha Bhattarai,Sunita Bhattarai
Hari Gurung,Kiran Gurung,GQ4584104,2020-09-11,2015-11-27,Gita Gurung,Kamala Gurung,Sita Gurung,Kiran Gurung,Kiran Gurung,Gita Gurung,Gita Gurung,Maya Gurung,Sabita Gurung
Ramesh Rijal,Ramesh Rijal,OV3305849,2009-10-07,2020-05-19,Sunita Rijal,Maya Rijal,Radha Rijal,Bikash Rijal,Ramesh Rijal,Rita Rijal,Hari Rijal,Sabita Rijal,Asha Rijal
Ramesh Adhikari,Hari Adhikari,UZ9289196,2017-01-03,2019-09-29,Gita Adhikari,Kamala Adhikari,Gita Adhikari,Ramesh Adhikari,Deepak Adhikari,Maya Adhikari,Manoj Adhikari,Sabita Adhikari,Asha Adhikari
Deepak Bhattarai,Manoj Bhattarai,GR0804557,2018-08-06,2023-01-21,Asha Bhattarai,Sita Bhattarai,Radha Bhattarai,Kiran Bhattarai,Ram Bhattarai,Kamala Bhattarai,Shyam Bhattarai,Maya Bhattarai,Sita Bhattarai
Anil KC,Manoj KC,YR8139950,2015-02-28,2007-12-23,Bikash KC,Shyam KC,Rita KC,Gopal KC,Kiran KC,Kamala KC,Laxmi KC,Rita KC,Asha KC
Ram Bhattarai,Gopal Bhattarai,QH0304190,2022-09-09,2019-12-25,Kiran Bhattarai,Radha Bhattarai,Maya Bhattarai,Bikash Bhattarai,Deepak Bhattarai,Kamala Bhattarai,Sunita Bhattarai,Gita Bhattarai,Sita Bhattarai
Kiran Acharya,Shyam Acharya,GO9394680,2007-01-31,2013-09-10,Ramesh Acharya,Sunita Acharya,Rita Acharya,Bikash Acharya,Kiran Acharya,Sabita Acharya,Maya Acharya,Laxmi Acharya,Laxmi Acharya
Anil Ghimire,Gopal Ghimire,JS9789434,2016-10-09,2022-06-23,Asha Ghimire,Sita Ghimire,Radha Ghimire,Deepak Ghimire,Ramesh Ghimire,Asha Ghimire,Sabita Ghimire,Sita Ghimire,Asha Ghimire
Anil Acharya,Manoj Acharya,CP7368805,2015-03-21,2008-08-10,Gita Acharya,Sabita Acharya,Sabita Acharya,Bikash Acharya,Kiran Acharya,Sabita Acharya,Anil Acharya,Rita Acharya,Asha Acharya
Ramesh Magar,Hari Magar,GY1318474,2019-09-20,2014-07-01,Laxmi Magar,Gopal Magar,Sabita Magar,Ramesh Magar,Gopal Magar,Rita Magar,Maya Magar,Sabita Magar,Sabita Magar
Shyam Tamang,Deepak Tamang,RC2124287,2023-08-04,2018-07-15,Kiran Tamang,Maya Tamang,Gita Tamang,Ramesh Tamang,Gopal Tamang,Gita Tamang,Rita Tamang,Sabita Tamang,Gita Tamang
Anil KC,Gopal KC,KA2085357,2023-01-27,2013-12-27,Anil KC,Bikash KC,Sabita KC,Manoj KC,Anil KC,Radha KC,Sunita KC,Asha KC,Sita KC
